frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
106.9,W295CZ,NY,AMSTERDAM,0.019,42.96116666666667,-74.17316666666667,44.0,D,,Cranesville Block Company,USA,Classic Hits,,Bills,,,Albany-Schenectady-Troy,"849,600"
107.1,W296BW,PA,ERIE,0.25,42.13644444444444,-80.04005555555555,53.0,D,YOUR MONEY STATION,THE BOARD OF TRUSTEES OF PENNSYLAVANIA STATE UNIVERSITY,USA,Business,,Browns,,,Erie,"234,200"
107.3,W297BC,VA,ROANOKE,0.125,37.346805555555555,-80.03533333333333,24.0,D,ROANOKE VALLEY'S NEWS STATION,"MEL WHEELER, INC.",USA,Talk,,Commanders,,,Roanoke-Lynchburg,"454,400"
107.3,W297CE,NC,ALBEMARLE,0.25,35.38708333333333,-80.19200000000001,73.0,D,107.3 FM & 1010 AM WSPC,"STANLY COMMUNICATIONS, INC.",USA,Talk,,Panthers,,,Charlotte-Gastonia-Rock Hill,"2,434,200"
107.3,W297CL,PA,LEVITTOWN,0.15,40.16897222222222,-74.83513888888888,43.0,D,,B & L Media Ventures LLC,USA,Adult Standards,Phillies,Eagles,,,Philadelphia,"4,756,000"
107.5,W298BB,IN,INDIANAPOLIS,0.233,39.89447222222222,-86.20583333333333,264.0,D,93.5/107.5 THE FAN,"Radio One of Indiana, LLC",USA,Sports,,Colts,Pacers,,Indianapolis,"1,634,200"
107.5,W298CK,NC,LINCOLNTON,0.25,35.49347222222222,-81.26563888888889,55.0,D,THE BOSS 101.5AM - 107.5FM,"Sports Talk Guys, LLC",USA,Oldies,Braves,Panthers,,,Charlotte-Gastonia-Rock Hill,"2,434,200"
107.5,W298CN,VA,LYNCHBURG,0.25,37.34916666666667,-79.16777777777779,20.0,D,,"MEL WHEELER, INC.",USA,Sports,,Panthers,,,Roanoke-Lynchburg,"454,400"
107.5,W298CR,PA,MEXICO,0.21,40.57233333333334,-77.51377777777778,35.0,D,99.5 THE BUS,"SOUTHERN BELLE, LLC",USA,Classic Rock,,Steelers,,,,
107.5,W298CW,PA,BUTLER,0.25,40.8745,-79.90283333333333,86.0,D,WISR 680 AM/107.5 FM,"St. Barnabas Broadcasting, Inc.",USA,Talk,Pirates,Steelers,,Penguins,Pittsburgh,"1,998,700"
107.7,W299AC,WI,LA CROSSE,0.092,43.75688888888889,-91.29455555555556,36.79,D,KQ 98,"FAMILY RADIO, INC.",USA,Country,,Vikings,,,,
107.7,W299BE,MI,BIG RAPIDS,0.25,43.663916666666665,-85.482,93.0,D,NEWSRADIO 1460-107.7 WBRN,"MENTOR PARTNERS, INC.",USA,Talk,Tigers,Lions,,Red Wings,,
107.7,W299BN,IL,PRINCETON,0.25,41.36330555555555,-89.39355555555557,89.0,D,NEWS TALK 1450,VIRDEN BROADCASTING CORP.,USA,News,Cubs,Bears,Bulls,,,
107.7,W299BZ,NC,HENDERSONVILLE,0.25,35.33844444444445,-82.48372222222223,56.0,D,WHKP 1450 AM/107.7 FM,"RADIO HENDERSONVILLE, INC.",USA,Country,,Panthers,,,,
107.9,W300BL,TN,MANCHESTER,0.25,35.467555555555556,-86.09497222222221,50.0,D,THUNDER 107.9 & 1320,"COFFEE COUNTY BROADCASTING, INC.",USA,Talk,Braves,Titans,,Predators,,
107.9,W300BY,TN,UNION CITY,0.03,36.41338888888889,-89.14977777777779,145.0,D,THE QUAKE 105.7,THUNDERBOLT BROADCASTING COMPANY,USA,Rock,,Titans,,,,
107.9,W300ED,KY,HENDERSON,0.25,37.85311111111111,-87.53666666666666,90.0,D,WSON 860AM - 96.5 FM,"HENSON MEDIA OF HENDERSON COUNTY, LLC",USA,Classic Hits,Reds,Titans,,,Evansville,"272,600"
107.9,W300EE,WI,MANITOWOC,0.22,44.125277777777775,-87.62813888888888,120.0,D,THE LAKESHORE'S GOOD NEIGHBOR,SEEHAFER BROADCASTING CORP,USA,Adult Contemporary,Brewers,Packers,Bucks,,,
99.1,WAAL,NY,BINGHAMTON,8.7,42.05869444444444,-75.95130555555556,150.0,B,THE WHALE 99.1,"Townsquare License, LLC",USA,Classic Rock,,NYGiants,,,Binghamton,"215,600"
107.5,WABX,IN,EVANSVILLE,2.0,37.98919444444444,-87.59666666666666,161.0,A,,"MIDWEST COMMUNICATIONS, INC.",USA,Classic Rock,,Colts,,,Evansville,"272,600"
97.7,WAFL,DE,MILFORD,3.0,38.92761111111111,-75.48852777777778,97.0,A,EAGLE 97.7,Forever Media,USA,Hot AC,,Eagles,,,,
102.1,WALT-FM,MS,MERIDIAN,0.92,32.325138888888894,-88.68811111111111,85.0,A,MERIDIAN`S NEWS TALK LEADER,"Meridian Media Group, LLC",USA,Talk,,Saints,,,,
98.9,WANT,TN,LEBANON,5.0,36.206722222222226,-86.26722222222222,101.0,A,REAL COUNTRY,"BAY-POINTE BROADCASTING, INC.",USA,Country,,Titans,,,Nashville,"1,563,200"
99.5,WAOL,OH,RIPLEY,13.0,38.648694444444445,-84.01158333333333,116.0,C3,99.5 THE EDGE,"DREAMCATCHER COMMUNICATIONS, INC.",USA,Hot AC,,Bengals,,,,
102.1,WAQY,MA,SPRINGFIELD,17.0,42.08341666666667,-72.70397222222222,122.0,B,ROCK 102,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",USA,Classic Rock,,Patriots,,,"Springfield, MA","560,500"
102.3,WAUH,WI,WAUTOMA,5.3,44.031638888888885,-89.15205555555556,99.36,A,THE BUG,"Civic Media, Inc.",USA,Classic Hits,,Packers,,,,
97.7,WAVK,FL,MARATHON,100.0,24.66147222222222,-81.41936111111112,137.0,C1,THE ZONE 97.7,Fiorini Keys Media LLC,USA,Sports,,Dolphins,,,,
92.7,WAVW,FL,STUART,50.0,27.275055555555554,-80.28616666666666,145.0,C2,WAVE 92.7,iHeartMedia,USA,Country,,Dolphins,,,Ft. Pierce-Stuart-Vero Beach,"591,700"
103.3,WAXL,IN,SANTA CLAUS,3.0,38.20863888888889,-86.89997222222223,129.0,A,103.3 THE FIX,"DUBOIS COUNTY BROADCASTING, INC.",USA,Hot AC,,Colts,Pacers,,,
104.3,WAXQ,NY,NEW YORK,6.0,40.74841666666667,-73.98569444444445,413.0,B,Q104.3,iHeartMedia,USA,Classic Rock,,Jets,,,New York,"16,662,000"
107.7,WAZA,MS,LIBERTY,25.0,31.286833333333337,-90.79816666666666,90.0,C3,THE TOUCH 107.7 FM,"North Shore Broadcasting Company, Inc.",USA,R&B,,Saints,,,,
106.1,WBBX,MD,POCOMOKE CITY,4.0,38.07677777777778,-75.53797222222222,105.0,A,B 106,"VINCO MEDIA, LLC",USA,Classic Hits,,Ravens,,,Salisbury-Ocean City,"383,200"
99.3,WBET-FM,MI,STURGIS,4.4,41.769777777777776,-85.4191388888889,102.0,A,TRUE OLDIES,"SWICK BROADCASTING COMPANY, INC.",USA,Classic Hits,,Lions,,,,
95.3,WBEV-FM,WI,BEAVER DAM,6.0,43.469166666666666,-88.82566666666666,92.0,A,95.3 WBEV,"Good Karma Broadcasting, LLC",USA,Variety,,Packers,,,,
105.9,WBGG-FM,FL,FORT LAUDERDALE,100.0,25.99313888888889,-80.17394444444444,311.0,C0,BIG 105.9,iHeartMedia,USA,Classic Rock,,Dolphins,,,Miami-Ft. Lauderdale-Hollywood,"4,076,900"
100.3,WBIG-FM,DC,WASHINGTON,50.0,38.887055555555555,-77.20052777777778,90.0,B,BIG 100.3,iHeartMedia,USA,Classic Hits,,Commanders,,,"Washington, DC","5,099,200"
